카테고리,키워드,질문
취미,게임,"안녕하세요 ! 예비중1 여학생인데요
공부하다가 가끔 심심할 때 잠깐 할 게임 추천 부탁드려요 ㅜㅜ

저는 수험생 키우기나 오늘부터 선생님같은 게임 자주 하구요
로얄매치도 자주 합니당

그 학생같은거 키우는 게임이나 키우기게임 중 아이돌 연예인 학생같은 거 위주로 부탁드려요 ㅜㅜ"
취미,게임,"로그인부터 계속
X,O키 이용해서 잘 로그인했고
스틱기울여서 상점도 잘 들어가서 구경도 하고
그랬는데
막상 다운로드된 게임을 플레이하려고하면
'X버튼 눌러 게임시작하기' 같은 창이뜰때
X버튼을 눌러도 게임이 실행안됩니다

버튼은 분명 잘 먹는데
버튼눌러 게임시작하기 에서
버튼이 안먹어서 게임실행을 못하고있습니다 ㅠㅠ"
취미,게임,
취미,게임,
취미,게임,
취미,게임,
취미,게임,게임 요즘 할게 없어서 멀티플레이 가능한 생존게임이나 격투게임 추천해주세요
취미,게임,
취미,게임,
취미,게임,"리듬게임 빼고 다른게임을 장시간해도 눈 아프거나 흐려지는건 1도 없는데
리듬게임. 특히 위에서 노트가 떨어지면서 치는게임들만
5분정도 하자마자 눈이 진짜 흐려지는데 시점을 한곳에만
집중해서 흐려지는건가요? 신기한게 눈 흐려지고 나서 몇분 안하면 그게 없어져버려서.. 리듬게임 커뮤니티에 물어보니깐 저처럼
흐려지지는 않고 눈만 조금 아프다하던데 저는 흐려서 도저히
못하겠더라고요 눈아픈건 없는데 흐리기만 해서 하고싶어도
못해서 조금 답답한데 무슨 증상이있는건가요?"
취미,게임,"게임접을려고 패드, 마우스 2개중1개 정리하고했는데

pc가 안팔리네요;88년생 남자입니다.

현재 조건으로 재밌는게임좀 추천해주세요

i9 9900k 
지포스3070
ssd 1tb
램 32

그리고 네이버 검색해서 나오는 게임중 pc 부분은 컴퓨터로만 
할수있는게임인가요?플스5 그런거 연결해서 해야되나해서요.
무료 유료 그리고 혼자게임하는거  상관없는데 인지도많고 관리잘되고 
재밌는거 추천부탁합니다.
요즘 지식인 답변분들 인원도 옛날같지 않은거같아요
답변달아주시는분들 수고하십니다^^"
취미,게임,"닌텐도 스위치 구매할려고 하는데 궁금한점이 있습니다

1. 유튜브 보면 온라인 무료게임이라고 해서 몇가지
추천을 해주시던데 그런 무료게임이라는게
진짜 온전히 무료인건가요 아니면 온라인 e샵 ?
결제를 해야지 무료게임을 다운할 수 있는건가요??

2. 온라인 결제해야지 무료게임 다운로드가
가능 한거면 돈주고 결제해서 무료게임 다운로드 하면
나중에 결제기한 다 되면 무료 다운로드 했던 게임은
다시 이용할 수 없는걸까요??"
취미,게임,다른 곳들 그러니까 pc나 닌텐도 같은 데에서 는 즐기지 못 하고 오직 플스에서만 플레이 할 수 있는 게임들 중에 재미있고 가볍게 즐길 수 있는 대전게임 추천 부탁드립니다. 내공 60
취미,게임,"콘솔,pc 게임 추천 좀 부탁 드립니다.
어느정도 재밌다 하는 게임들은 다 해봐서
최근에 너무 할게 없습니다.
만약 재미있는 게임 있으시면 추천 좀 부탁드립니다"
취미,게임,
취미,게임,
취미,게임,
취미,게임,
취미,게임,게임 하는데 랙이 좀 걸려서 게임 하기가 어려운데 컴퓨터사 좀 별로입니다. 게임하는데 그래픽 카드 문제인지 ssd 문제인지 ram 문제인지 확인 할 수 있나요? 확인할 수 있다면 방법도 알려주세여
취미,게임,여기서 얼티밋 말고 pc로 게임패스 구매해도 the show 23 이용가능한가요?
취미,게임,"e숍으로 샀는데
제가 스위치 2대가 있는데 동생 하나 주려는데
제 계정 연결해서 게임 다운받아주고 제 계정 지우면 돈생 계정으로 기기 안에 받은 게임 못하나요?"
취미,게임,
취미,게임,플스5 디지털에디션은 게임칩(게임팩?)을 사용 못 하는건가요?
취미,게임,부산에 보드게임 하는곳 있을까요? 이번에 배틀 마피아 게임에 관심을 가지게 되었는데 다들 배송비가 3000원 이상이여서요ㅠㅠ
취미,게임,
취미,게임,좀 캔디크러쉬랑 비슷한 유형의 퍼즐게임이었는데 같은색이 연결되면 능력있는 민달팽이 같은게 나와서 총으로 쏘고 여러가지 있었던걸로 기억하는데 뭔가요? 되게 미국 애니메이션같은 게임이었습니다 모바일 게임이었구요
취미,게임,"모바일로 할 수 있는 리듬게임 추천 해주세요
씹덕같이 안보이는 게임으로 찾아주세요ㅜ"
취미,게임,
취미,게임,
취미,게임,
취미,게임,"스팀 게임 추천해주세요 근데 약간 반복 노동이 있는 노가다 게임 추천해주세요 
가격은 상관없습니다 그리고 조금은 유명했으면 좋겠네요"
취미,게임,
취미,게임,
취미,게임,
취미,게임,다른 프로그램은 다돌아가는데 게임종류에 사관없이 게임을 시작하고 게임이 시작되고 몇초 안있다가 오류라고 하면서 튕깁니다 어떻게 해야 하나요?
취미,게임,겔럭시를 쓰고잇는데 다른건 다 광고 나오는데 게임광고만 안나와서 그러는데 폰에 이상이잇는건지 아님 게임에서 그런건지 몰라서 게임 광고 활성화 하는 방법은 없나요?
취미,게임,이 게임 어린시절 했었던 기억이 나서 깔아서 하고싶은데 아무리 찾아봐도 없어요…..제가 지금 아이폰13을 쓰는데 이게임 어떻게 해야 깔수 있나요??
취미,게임,
취미,게임,신의 탑 새로운 세계 같은 게임이나 힐링 게임 좀 추천해 주세요 (원신 같은 게임 X)
취미,게임,
취미,게임,"어느떄와 같이 집에와서 친구들과 롤을 하는데
롤이 약간질려

롤대신할 게임을 찾고있습니다
지금 당장할 게임을 찾고있구요
지금 돈이 없어서 무료겜으로 찾아주시면 감사하겠습니다

장르는
멀티플레이를 할수있는걸 원하구요
노트북사양이 구려서 
사양이 구려도 잘돌아가는게임만 추천부탁드립니다
그리고 하드웨어에다가 설치한다는점 참고해주세요

그리고 주변사람들이 봐도 이상하지 않은게임 추천부탁드립니다"
취미,게임,
취미,게임,오픈월드 1인칭 슈팅게임에 총이나 활로 괴물 잡는 게임 추천해주세요
취미,게임,
취미,게임,"게임회사 들어가고 싶은데요

저는 초등학교 6학년인데요

나중에 커서 게임회사에 들어가고 싶어요

지금 잘하는 게임은 오버워치랑 롤 주로 하고

오버워치는 다이아 티어 입니다.

조금 더 노력해야 들어갈 수 있나요?"
취미,게임,
취미,게임,
취미,게임,"1.TOMB RADER
2.TOM CLANCY'S GHOSTRECON
3.TOMCLANCY's GHOSTRECON BREAXPOINT
4.CALLDUT MODERN WARFARE

4개 게임처럼 똑같은게임 비슷한? 추천해주세요
옛날 그래픽말고 요즘 그래픽처럼된걸루 추천부탁드려요
가격은 상관없습니다 5만뭔 미만이겠지만 대부분이ㅎㅎ"
취미,게임,"고전 게임 찾고 싶은데 못찾아서 지식인 써봐요..
꼭 찾고 싶은 게임 입니다
스트리트파이터 캐릭터 들이 나오는데 1ㄷ1은 아니에요 맵 형식 으로 이어져있고 캐릭터 다 잡으면 다음 으로 넘어 가는 느낌이에요 비슷한 게임이라고 말하면 살짝 닌자거북이 처럼 플레이 방식이 비슷한거같아요.. 찾아주세여"
취미,게임,Xbox 게임패스를 인터넷에서 사면 그 기간 안에서 돈 안 내고 게임 플레이가 가능한가요?
취미,게임,"안녕하세요 제가 게임을 즐겼던사람이었는데요.
본론적으로 말하자면 제가 게임에 가리는게 많다고해야할까
늘 똑같은게임을 접다 다시하다 그러다보니 제가 게임에 대한 가리는게 많아져 하기전에는 다시할까? 생각을 많이햇거든요. 그래서 언제는 그 고민이 복잡해져 불안 공황이 일어나 그때부터 게임안하기로햇습니다. 그러다 하고싶을때 계속 참다가 저도 참는게 잘 안되다보니 다시 게임을 시작하기도했습니다. 그래서 가족분들과 상담을 나눈적도있는데 그런거 생각하지말고 그냥 생각하지말고 하고싶을때 하라고 하라고 애기를 햇습니다. 그래서 되도록이면 그런거 생각안하고 게임을 즐기도록 하는데 제가 그래도 그 이후에 게임에 대한 신경이 훨씬 예민해졌다고 해야할까? 어쩌다 게임에 대한 두려움? 불안감 그런게 느끼기도하고 게임에 대한 불안과 강박?증세가 있는거같습니다. 강박이라는것은 계속 게임해야지 아예 안해야지 계속 이러기도해요 그래서 그런다고 게임을 그만두는것도 무섭고 병원에 가서 진료를 받아야하나 고민입니다."
취미,게임,"제가 꿈이 게임 쪽인데..
게임만들고 싶은 마음은 여전한데...
솔직히 최근들어 게임회사를 가고 싶다는 꿈이 많이 접힌거 같아요...
트위터에서 고작 손가락 모양 가지고 그게 남혐이다라고 하고
게임에서 여성 캐릭터 노출이 적으면 게임 제작사를 페미로 몰아가고.. 여자는 손가락 모양 하나에 그렇게 화를 내지만
남자가 하는 게임은 가슴 비장상적으로 큰 어린 여자가 성행위 하고 그러는 게임하면서...
그냥 최근에 이런 논란들 너무 많이 접해서 그런가
게임회사 가고 싶어도 가기 무섭고 실망도 많이 했어요
개선이 될 수 있는 문제 일까요?"
취미,게임,
취미,게임,
취미,게임,"수능도 끝나서 학교에서 플스로 게임을 하려는데 본체1개 컨트롤러 2개입니다
생각중인 게임은 마인크래프트 던전스랑 펫 프린세스, 헬다이버스? 생각중인데 위에 3개는 한기기로 2명이서 게임 되는지 궁금하고 또 한기기로 2명이서 할수 있는 게임 추천해주세요...!"
취미,게임,
취미,게임,기존에 하던 게임 부계정을 만드려고 게임센터 계정도 새로 팠는데 부계정으로 게임 접속하면 기존 계정의 데이터로 플레이되네요 어떡하죠
취미,게임,"옛날에 많이 했던 게임 기억이 안나요.. 파란색, 흰색 사람?들을 총으로 쏴 죽이는 게임이고, 스테이지형식 게임이에요"
취미,게임,
취미,게임,
취미,게임,액션게임인데 트레일러 초반에 돼지같이생긴 인간하고 원숭이랑 카드게임하는거 돼지옆에있는 날씬한여자가 카드를 원숭이한테 던지는 장면나오고요 게임이름요 
취미,게임,"게임으로 개인회생 준비인데 (금지명령단계)
통장에서 돈을 인출해서 무통장으로 게임에 입금하는것도 문제가 되나요?
게임을 끊기가 너무 힘드네요.."
취미,게임,
취미,게임,
취미,게임,
취미,게임,엑스박스 게임패스 이게 첫달 1000원이고 다음달부터 7900원이던데 이걸 구매하면 패스에 표시된 게임들은 기간동안 제한없이 플레이가능한건가요? (Lies of P 같은 게임도 최종보스까지 다 릴리스되어있는거죠?)
취미,게임,"칩을 직접 사서 게임을 할 수도 있고
온라인 스토어에서 돈내고 게임을 다운로드 해서 플레이할 수도 있는건가요?
맞다면 둘다 차이가 없는거겠죠?
아예 게임을 해본 적이 없어서 제가 이해하고 있는게 맞는지 잘 모르겠어요"
취미,게임,
취미,게임,
취미,게임,제 친구놈이 게임 구매는 현질이라고 말하니까 제가 빡쳐서 어학사전 보여줬는데 이놈도 증거사진을 가져오더라고요. 현질은 게임 내에서 아이템 등을 사는 거 아니었나요? 게임 구매도 현질인가요?
취미,게임,
취미,게임,무슨 게임인가요??
취미,게임,
취미,게임,"가을할인한다해서 오래만에 스팀게임좀 하려고하는데
제가 지금까지 했던 게임중에 제일 재밌게 했었고
지금도 제일 좋아하는 게임이 할로우나이트란 말이에요?
그래서 부드러운모션에 귀여운, 그리고 어느정도
조작감같은게 있는걸로 할인하는게임중에
그나마 좁혀본게 산나비 투닉 오리 이정도인데
골라주세요.. 그리고 다른게임도 있을까요? 있으면
추천좀 부탁드립니다.."
취미,게임,
취미,게임,"안녕하세요 현재 고1 모든 시험이 끝나고 방학만을 기다리며 학교를 다니고 있습니다 그런데 학기말이란지 그런지 학교가 심심하기도 해서 제가 반장으로서 1주일정도 진행할수있는 게임을 준비할려고 하는데요 제가 많은 게임을 생각해봤는데 다 반 친구들이 흥미를 가질거같지 않고 금방 끝날거 같더라고요.. 그래서 반 친구들 다 같이 할수있고 마니또처럼 오래할수있는 게임같은거 있는지 궁금합니다…@@@
이왕이면 마니또도 좋지만 다른 게임도 부탁드려요!"
취미,게임,
취미,게임,"유한대 게임과랑 국제대 게임과 중에 어디가 더 좋나요?
진로는 게임 원화쪽인데 지금 합격한 곳들 중 그나마 나은곳들이라서요"
취미,게임,"요즘 컴 게임중에서 많이 하는 게임이 무엇이고 재미있는것이 무엇인가요 
그리고 그런 게임을 할려면 게임을 사서 컴에 깔아야하나요 예를들어 원스같은것요"
취미,게임,"제 동생이 제 폰으로 애플 게임을 하다가 저 모르게
현질을 해서 애플 고객센터에 전화해서 환불을 받았습니다
근데 저도 게임하고 현질 하고싶거든요ㅠㅠ
같은 게임인데 동생이 현질한건 환불 받았지만
제가 또 같은 게임에 현질을 해도 될까요?"
취미,게임,
취미,게임,"안녕하세요

예전 고전게임인데

비행기 게임이였습니다.

특이하게 비행기가 손가락 모양으로 됐습니다.

주먹, 가위, 권투글러브 등

몬스터들도 꽤 기괴하게 생겼었구요

어렸을때 했었는데 갑자기 생각나서 적어봐요"
취미,게임,스트레스 안받고 혼자서 오래 즐길수 있는 게임 (스테이지 안막히는 게임) 추천해주세요 카드게임이면 더좋아요
취미,게임,스팀 용량 큰 고사양 게임 다운받으면서 다른 게임 플레이 해도 되나요?? 렉 걸리거나 다운로드 정지될라나요
취미,게임,요즘 스팀에 플스게임이라던지 엑박게임이보이던데 스팀에서만 할수있는 게임이 있을까요? 제가 플스가 따로잇어서 스팀에서 굳이 플스을 사고싶지않아서요...
취미,게임,
취미,게임,"15년쯤 전에 아빠가 했었던 게임이 궁금해서요..
“일본”이 배경이고 허허벌판에서부터 막 다이쇼시대까지 건물도 짓고 그러는 게임이었어요
게임 스타팅화면이 일본 기와집에 벚꽃날리고 그랬던 거 같은데 게임 이름이 뭘까요..
게임에서 전투같은걸 했었는진 기억이 안 나는데.."
